"gender","lmm_kg","time_s","bioaa_vas"
"male",28.1958510064903,12.2140975879319,70.7118270832427
"male",29.5925515902603,11.7744332353531,68.9685599733955
"female",17.0381816452385,13.0662349204355,27.7576965904667
"male",32.4957750438548,11.8859922092863,75.6138584497236
"male",27.6148214507536,12.7852644990734,80.941424891684
"male",31.0213938360475,12.8285318507155,54.0463182934056
"male",32.6112894610407,11.7165607137363,72.1113276121728
"female",16.4535169842609,12.5710907659627,63.6819175614316
"male",33.0686819272049,11.9792802908422,89.4897447492794
"male",23.67469627127,12.3842545655357,55.7218378126736
"female",20.689287913098,13.033999686392,46.7708351438693
"male",34.5351323746613,12.4557945909359,51.5069220234192
"male",31.666313967452,11.8019119506989,76.1325042091707
"female",22.7446364037481,13.0299654079493,66.6651410487224
"female",18.3398101271615,12.7859519747048,52.9840170855254
"male",30.8951282685301,11.9867079581164,80.80288906331
"male",33.3191386189564,12.3866641904067,70.3537758078174
"female",16.0125512455027,13.1493241548069,51.447272413057
"female",23.0050823866581,13.2086962422118,62.061423697135
"male",25.7720883787278,12.0262216455262,74.478712800247
"male",28.5036569259562,12.3221034382833,48.4147154195625
"female",27.8682705574654,12.7319259580194,71.7770196018556
"male",31.5319966980856,12.621155349753,66.3263345720482
"male",29.7274704173424,12.2456445248672,91.5063028211493
"female",22.9362970376326,12.6078187011462,83.3708753173512
"male",29.2685740293351,12.5558039057838,56.167837854188
"female",21.8654268776409,13.1634899310092,70.597579048102
"male",28.966214340461,12.6020079827916,67.0285237551815
"female",12.9343263624755,13.2448604266264,41.7933901093758
"male",31.4171629000609,11.8795075122498,74.281101627961
"male",28.4655594156393,11.6942025426418,78.4194049316123
"male",28.2791934007317,12.7332426833212,61.6593487777114
"female",20.0113916111858,13.3738141629748,39.27221933813
"male",34.0276527885834,12.1647821888425,74.83404975263
"female",20.8863845346782,12.0198963766353,51.6958145153233
"male",32.5253608308163,12.1483539562054,70.1509180791876
"female",21.8871928946614,13.2804387289361,62.4202775587139
"female",20.3047951983892,12.7957740369415,42.4620641146039
"male",32.013362623983,12.3243284453426,68.3187127535036
"male",29.5850508763148,11.8453670750377,80.0097117357355
"female",16.2520632405428,13.2991366923594,47.9023403994979
"female",21.0429057326461,12.4413303966933,54.6491171252156
"female",13.1665590224852,12.9501229776049,40.1208644119706
"male",27.0413724564191,12.8182356764294,60.3184009776189
"female",19.8213759693434,12.9155975390878,67.4732394113257
"male",29.5177215285776,12.8304413049822,58.525507818967
"male",28.7389154389791,12.4276751940249,62.3509972176323
"male",32.9657730489858,12.6685937896682,69.1713546490587
"male",26.7911586266741,12.3036035290494,68.0723351244836
"male",22.1590695989547,12.718447129939,76.4738077730954
"female",22.3413556929865,13.154771308187,70.5044022142798
"female",20.1353152206622,12.8440543557749,42.0299722452901
"female",19.6745325233073,13.6465468596937,51.6404788082831
"male",28.8263270697871,12.635544945452,68.9993982600239
"female",14.9390014870142,12.7966969218054,51.500313626969
"male",27.141886634545,12.7971520266637,63.8719743612244
"male",31.5222423363102,12.0201299947195,81.691010902643
"female",20.0564482970202,11.9513703829375,71.0815239438489
"female",15.7432688792431,13.0176794484441,38.7999977111181
"male",31.7945157940567,11.8344820749462,85.4030657675568
"male",32.3591388652297,12.0278987250594,87.2746620898302
"male",29.5961008622933,12.019178974719,75.610658397908
"male",29.950840447154,11.2736858926305,51.6957879331393
"male",34.2274212247053,11.9431297594096,88.4120188679507
"male",31.1845160964068,12.6055352426108,50.8869247420377
"female",23.6596253842174,12.2345412960837,77.6976426642251
"female",19.8647683613811,13.5836242974152,45.1604241856058
"male",34.4384635345163,12.7508451681191,57.9184008338966
"male",29.7729486399228,11.8768680493099,55.614447471414
"female",22.7532453715987,13.8490321691129,54.604720114484
"female",18.9656638587728,12.5860923958583,51.9491107195098
"female",16.7689920318382,13.1382435898852,47.0588067337967
"female",23.0048141820749,12.7671067061526,57.379603370381
"female",26.888012122314,13.3315943416619,49.9321507833175
"female",19.02236565365,12.5230430191866,44.3639272295122
"male",34.406568385588,11.9550539591936,50.1641228411797
"female",19.2892732004784,12.4223906135693,65.8624687285729
"female",22.7704793536713,13.2660238426338,60.4200981880323
"male",27.0324245798958,12.5531394382803,60.8296258366576
"female",20.8269388348601,12.927683525869,46.8453351338818
"male",27.7090167193169,11.9856791126481,79.9248626085352
"female",15.9436640474001,12.7121047763481,44.8224867821109
"female",21.965073230684,12.9875400319528,59.0518815875844
"male",34.8289402810649,11.5698543616325,64.6084214253115
"male",27.6344791023663,13.1320515023814,67.2798509984096
"male",27.348371662422,11.8754962119735,73.6319132429996
"female",16.7824561646193,13.0507903026806,49.533794340043
"female",18.6255770556565,12.7943882914496,50.9148532494683
"female",21.9969410467347,12.8463654567855,66.4900980604475
"female",22.1366846372562,12.9145648005544,65.9124302691712
"male",31.3288626824975,12.4332036402162,80.4643061269646
"female",22.2787619361775,12.6121506712604,81.1495787649538
"female",18.5933670019426,12.6466088419584,48.188386227597
"male",29.4818700663485,12.5781113125505,55.3739518035813
"male",32.0461496981574,13.0034805734173,82.9224861690354
"male",29.1552680152754,12.5587655774658,66.7661788092775
"female",17.1151322782045,13.249899421976,60.5194056085093
"male",25.8670495658023,12.428871404476,66.5623522134653
"male",38.0927599099151,12.0785576831425,61.5110203492538
"male",24.9008548333112,11.6059629803954,82.7504890631156
"male",30.0879499583826,12.4767600085169,72.2633763317941
"female",25.8029430084537,12.6532895567099,47.0098544588489
"female",22.5125326255339,13.056496750028,48.417872253936
"female",19.443961006746,13.6149803916795,42.2600827211251
"male",31.5999875332932,12.1545745256314,70.7002057114019
"male",35.3548687260443,12.3485508863747,65.2270792860286
"male",30.5688834594904,11.9517348837808,66.4116446386322
"male",28.2927374634402,12.8555082969183,63.5572050543682
"male",34.3556788337164,12.7125220672945,67.3843022346903
"female",25.606980357696,13.1688022042705,31.4103775476382
"male",27.0463353187874,12.6429316260563,54.4391523255853
"male",32.1562702917131,12.3147293661743,65.7363001179505
"male",30.3880418908748,12.3912167572074,72.3993956758702
"female",22.1049239266801,13.1476113164702,57.0994268944424
"male",31.5800934956623,12.1424398784306,66.4335403635256
"male",29.9384607031362,12.0310048987614,62.5517383211563
"female",21.3147531419209,12.8456963916797,50.0113036515683
"female",16.3684143028954,13.3026013381119,45.773049326114
"male",25.7867401685133,12.2011196668948,63.9172414589455
"male",32.1622474716279,11.4253904583682,76.5031588001658
"female",20.2581065098302,13.2892847550961,47.7178926684815
"female",19.6051488757746,13.1041330944019,27.7013587448829
"male",24.9718440631805,12.1052490889867,81.5901966791522
"male",28.2915060276957,12.1989536304246,55.0984372562679
"male",30.5766154526896,12.3975016481809,55.2656313042102
"female",18.5410312377415,13.6945878226902,41.4951076051536
"male",30.2438520389816,12.6723332464809,71.2569035771178
"male",31.1546917403529,11.978610066342,68.7100230717734
"female",19.5874940868855,13.996488230951,48.2393643844932
"male",31.2827793277173,12.7367598999525,60.2850697225275
"male",29.2708066543819,12.4637938537898,64.0064507326637
"male",29.0449415164383,12.4257008684908,57.5410334092572
"male",29.237680819476,12.071098187645,64.8650939470462
"male",31.9166622904892,12.4189096373296,49.6831538221574
"male",32.4631961494983,12.4543687111135,64.7691023352059
"male",37.0064372597459,12.0260819851422,55.7374172443479
"male",27.0500773271668,12.5085068287121,65.7715659698448
"female",17.8776276799812,12.7075983201763,81.7091978425321
"male",31.9324473040498,12.6705267678222,46.4350994495281
"male",34.9129959898386,12.0912358004982,59.3028512588967
"female",23.6799445239929,12.1768477938809,59.5026117183384
"female",18.5968831450076,12.8529955644338,43.7169543773293
"female",17.965306808786,13.1598030566628,51.5422047903831
"male",35.0892068139913,12.3658141954437,87.8917763763154
"male",34.6285405502672,11.6719786449464,90.0686855468565
"male",30.6435827761828,12.2566918968936,62.0070797305324
"female",25.102064887257,12.8320826175706,68.6859569811093
"male",29.9760395110563,12.0600429302793,78.8942620885377
"female",17.5462989055917,12.681321897597,59.2702137263478
"female",19.8481694891494,12.4600936249784,48.4736653588901
"male",30.2397632596471,12.3349795817838,76.0375198639986
"female",15.3212867063179,12.6734906400933,59.3370027489581
"male",29.4855061297611,11.9460366149622,84.5886197233022
"female",18.744178721503,13.3417276043406,39.7407724386521
"male",31.4738604540995,12.0071468863023,70.8181721143408
"male",28.4063147063069,12.4139209116758,57.9278319970311
"female",21.4466603532047,13.374588996402,31.9454251943985
"female",21.608873120148,13.0428362290312,49.4160186709033
"female",19.1620273764233,13.0520850493062,55.7852158902338
"male",29.8694782058982,12.0126738094205,74.7769446653292
"male",37.1445458758785,11.7655855749256,62.3022803742256
"male",34.6440933400668,11.7878157306798,88.8205965480607
"male",34.6642859955869,12.2752673123834,80.2619609270361
"female",20.1743336903417,12.2507823787927,52.355922274759
"male",27.4806632534185,12.4808109504595,70.4196259858793
"female",21.7133703459664,12.4863922783342,40.5650128336741
"female",20.1981433476892,13.0635157958512,42.3471087211685
"female",30.75397847879,13.2375782089937,64.509386446445
"female",14.2043133390462,13.3509833420757,40.7332989137649
"female",19.3915024872621,12.9063523676842,44.7120667346859
"male",34.4511456128193,12.2646278468033,72.837089620381
"female",13.7044507995065,12.4947150600459,43.4521332622075
"female",19.2210540018297,12.7984088679599,36.5542880831342
"female",21.0022038076616,12.8674783159915,55.5416944514743
"female",19.3410872251003,11.9441160066708,60.1130325569881
"female",17.2046845901327,13.7759103059877,40.5866204028854
"male",29.6332793451103,12.3905898759229,74.489376740544
"male",34.0155852703853,12.5688132069979,64.1047146405664
"male",25.9550064298669,12.3428190185184,62.3040423736102
"male",34.2445071735299,12.3374207937521,55.7970419533238
"male",32.742146836544,12.9446298949974,44.4348423131966
"male",26.2899362445201,12.353580595324,60.5767289471669
"female",15.4977189359761,13.2371974550831,33.6590786090629
"female",20.1036160516896,13.2153548512272,50.6750605523337
"male",30.8588989362081,12.3808671488535,64.2560549551237
"male",33.5586242815368,12.4174643927775,81.0098260227733
"male",29.8873518844724,12.1584376314228,64.3581989334513
"male",31.2611147819207,12.0937723742915,66.9172381907169
"female",23.8677394470283,12.4406574467317,54.0587035158358
"female",23.5120675552989,12.7784877407863,53.6369420319808
"female",22.4782809622541,12.7713424297682,52.7239768232799
"male",30.9717511952715,11.9951962759022,78.3040623799251
"female",21.1428512343636,13.1742333041452,37.5577045552434
"female",23.6078587483799,13.0274826359996,56.498523599008
"female",23.3066172521964,12.4839704056165,56.8451809480263
"female",19.8154551800626,12.8348681930666,72.2900814074336
